,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,2,2,1,2,3,0,3,3,0,3
1,2,3,3,2,11,9,20,11,9,20
2,5,2,4,4,10,8,18,10,8,18
3,4,2,3,2,7,0,7,7,0,7
4,2,3,2,2,2,5,7,2,5,7
5,3,2,7,3,7,2,9,7,2,9
6,3,2,4,2,4,4,8,4,4,8
7,3,2,4,4,11,6,17,11,6,17
8,4,2,2,3,7,8,15,7,8,15
9,2,3,3,2,9,2,11,9,2,11
10,1,2,3,2,4,1,5,4,1,5
11,2,3,4,2,11,7,18,11,7,18
12,3,2,2,2,6,3,9,6,3,9
13,3,4,3,2,6,4,10,6,4,10
14,3,2,2,3,4,5,9,4,5,9
15,4,2,3,3,3,10,13,3,10,13
16,2,3,2,2,4,4,8,4,4,8
17,3,3,4,2,6,5,11,6,5,11
18,4,2,2,2,2,1,3,2,1,3
19,5,3,2,4,3,7,10,3,7,10
20,2,3,3,2,10,8,18,10,8,18
21,3,2,4,2,14,9,23,14,9,23
22,2,2,3,3,4,4,8,4,4,8
23,3,2,4,3,5,2,7,5,2,7
24,2,3,3,2,4,6,10,4,6,10
25,2,2,3,3,5,9,14,5,9,14
26,2,3,3,2,8,8,16,8,8,16
27,2,2,2,3,20,15,35,20,15,35
28,2,5,3,4,7,7,14,7,7,14
29,1,2,5,3,4,4,8,4,4,8
30,3,4,2,2,2,0,2,2,0,2
31,1,3,3,3,3,3,6,3,3,6
32,4,3,3,2,6,5,11,6,5,11
33,3,4,3,3,7,2,9,7,2,9
34,1,2,4,3,2,1,3,2,1,3
35,2,3,3,2,6,2,8,6,2,8
36,1,2,2,3,1,0,1,1,0,1
37,4,2,1,5,9,7,16,9,7,16
38,3,2,3,3,11,11,22,11,11,22
39,6,2,1,3,2,2,4,2,2,4
40,2,2,3,2,9,9,18,9,9,18
41,2,4,3,3,15,10,25,15,10,25
42,2,2,3,2,12,8,20,12,8,20
43,3,3,1,3,1,1,2,1,1,2
44,2,3,4,4,3,3,6,3,3,6
45,4,2,1,2,7,5,12,7,5,12
46,2,2,3,4,1,0,1,1,0,1
47,2,2,1,3,1,4,5,1,4,5
48,3,3,2,3,12,7,19,12,7,19
49,2,3,2,4,3,2,5,3,2,5
50,2,2,5,2,2,1,3,2,1,3
51,4,5,3,5,13,15,28,13,15,28
52,3,3,3,3,9,0,9,9,0,9
53,3,3,4,2,4,1,5,4,1,5
54,3,2,3,3,20,16,36,20,16,36
55,3,2,3,3,8,4,12,8,4,12
56,5,2,2,3,4,4,8,4,4,8
57,5,3,3,4,7,4,11,7,4,11
58,1,2,2,3,3,0,3,3,0,3
59,1,3,3,2,7,1,8,7,1,8
60,1,3,1,2,1,0,1,1,0,1
61,2,2,4,3,5,5,10,5,5,10
62,6,2,3,3,3,0,3,3,0,3
63,4,4,3,2,5,5,10,5,5,10
64,1,4,2,2,4,1,5,4,1,5
65,4,3,2,2,6,5,11,6,5,11
66,3,2,3,4,8,6,14,8,6,14
67,2,6,2,2,1,0,1,1,0,1
68,2,2,1,3,4,0,4,4,0,4
69,4,3,2,3,3,4,7,3,4,7
70,5,3,4,2,19,16,35,19,16,35
71,2,2,3,2,6,4,10,6,4,10
72,3,2,2,3,3,4,7,3,4,7
73,1,2,3,2,6,3,9,6,3,9
74,6,2,2,3,6,4,10,6,4,10
75,2,3,3,2,9,8,17,9,8,17
76,2,3,2,2,7,4,11,7,4,11
77,2,3,1,5,1,2,3,1,2,3
78,4,2,3,5,6,5,11,6,5,11
79,3,3,3,2,2,2,4,2,2,4
80,2,2,2,2,8,6,14,8,6,14
81,1,2,1,2,1,0,1,1,0,1
82,4,2,1,2,1,1,2,1,1,2
83,4,2,1,3,7,6,13,7,6,13
84,2,3,2,2,2,2,4,2,2,4
85,2,4,5,3,5,3,8,5,3,8
86,3,4,2,2,2,0,2,2,0,2
87,4,2,3,2,2,0,2,2,0,2
88,2,2,4,2,4,2,6,4,2,6
89,2,2,1,2,1,2,3,1,2,3
90,2,3,2,2,7,7,14,7,7,14
91,1,3,2,3,1,0,1,1,0,1
92,3,4,5,3,8,8,16,8,8,16
93,1,3,1,5,1,0,1,1,0,1
94,6,3,2,2,6,4,10,6,4,10
95,2,2,4,6,6,6,12,6,6,12
96,1,2,4,5,1,1,2,1,1,2
97,2,4,3,3,6,7,13,6,7,13
98,3,2,3,2,2,2,4,2,2,4
99,4,3,1,2,2,4,6,2,4,6
