,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,9,6,4,5,1238113,1237938,2476051,1238113,1237938,2476051
1,5,7,7,6,970172,969420,1939592,970172,969420,1939592
2,5,5,7,6,1171591,1171528,2343119,1171591,1171528,2343119
3,5,3,3,7,181498,182158,363656,181498,182158,363656
4,7,2,5,9,700526,699214,1399740,700526,699214,1399740
5,6,4,3,8,422782,423583,846365,422782,423583,846365
6,6,7,7,3,1204261,1204046,2408307,1204261,1204046,2408307
7,4,11,7,5,822558,822187,1644745,822558,822187,1644745
8,5,6,4,8,1028215,1029835,2058050,1028215,1029835,2058050
9,4,6,7,6,939116,939419,1878535,939116,939419,1878535
10,9,5,4,6,1262149,1260134,2522283,1262149,1260134,2522283
11,7,8,5,8,1285196,1285956,2571152,1285196,1285956,2571152
12,4,7,3,6,492379,492574,984953,492379,492574,984953
13,7,2,5,5,606159,604142,1210301,606159,604142,1210301
14,6,9,7,7,1349152,1349717,2698869,1349152,1349717,2698869
15,6,6,4,5,1185513,1190490,2376003,1185513,1190490,2376003
16,4,6,5,9,1011114,1010867,2021981,1011114,1010867,2021981
17,5,7,4,5,973747,976926,1950673,973747,976926,1950673
18,7,7,6,6,992161,992915,1985076,992161,992915,1985076
19,6,5,7,6,1466641,1469653,2936294,1466641,1469653,2936294
20,4,5,7,6,917432,918394,1835826,917432,918394,1835826
21,10,3,8,8,279865,280245,560110,279865,280245,560110
22,10,9,5,4,369327,368448,737775,369327,368448,737775
23,7,8,5,6,760372,760399,1520771,760372,760399,1520771
24,6,7,6,7,1019496,1018301,2037797,1019496,1018301,2037797
25,7,5,6,6,1079312,1078972,2158284,1079312,1078972,2158284
26,4,9,7,6,664490,664483,1328973,664490,664483,1328973
27,4,3,8,6,1183509,1182594,2366103,1183509,1182594,2366103
28,8,5,5,7,1159891,1161232,2321123,1159891,1161232,2321123
29,6,5,8,9,604016,605017,1209033,604016,605017,1209033
30,7,6,7,7,1144094,1143513,2287607,1144094,1143513,2287607
31,6,3,7,5,1147280,1147390,2294670,1147280,1147390,2294670
32,5,7,7,4,1198528,1198343,2396871,1198528,1198343,2396871
33,5,5,12,7,651965,651686,1303651,651965,651686,1303651
34,6,7,7,5,382492,382887,765379,382492,382887,765379
35,6,6,6,8,953258,954511,1907769,953258,954511,1907769
36,10,8,5,5,471439,469511,940950,471439,469511,940950
37,3,6,5,5,859198,859984,1719182,859198,859984,1719182
38,4,6,7,7,1238923,1237775,2476698,1238923,1237775,2476698
39,8,6,7,7,900443,902225,1802668,900443,902225,1802668
40,5,5,7,5,582440,584041,1166481,582440,584041,1166481
41,5,6,7,4,852458,851194,1703652,852458,851194,1703652
42,6,3,8,6,643004,642315,1285319,643004,642315,1285319
43,5,7,5,3,580685,580945,1161630,580685,580945,1161630
44,3,6,9,6,1510566,1509459,3020025,1510566,1509459,3020025
45,6,6,6,4,1170633,1168580,2339213,1170633,1168580,2339213
46,6,5,5,8,986665,985266,1971931,986665,985266,1971931
47,6,6,6,3,817907,818182,1636089,817907,818182,1636089
48,3,8,4,8,758297,759020,1517317,758297,759020,1517317
49,6,4,8,4,1133680,1135101,2268781,1133680,1135101,2268781
50,8,5,5,5,1341560,1340101,2681661,1341560,1340101,2681661
51,6,5,5,7,947599,946896,1894495,947599,946896,1894495
52,4,7,5,5,1190250,1190960,2381210,1190250,1190960,2381210
53,7,5,6,5,1828803,1829969,3658772,1828803,1829969,3658772
54,8,6,5,8,1236845,1237286,2474131,1236845,1237286,2474131
55,8,9,5,4,557656,557916,1115572,557656,557916,1115572
56,5,4,4,8,534698,534709,1069407,534698,534709,1069407
57,8,9,5,4,879139,878222,1757361,879139,878222,1757361
58,3,6,6,5,1258764,1258119,2516883,1258764,1258119,2516883
59,6,9,8,4,1072459,1072247,2144706,1072459,1072247,2144706
60,6,9,5,5,496167,495832,991999,496167,495832,991999
61,7,9,5,4,1399742,1401374,2801116,1399742,1401374,2801116
62,4,3,8,6,706734,705799,1412533,706734,705799,1412533
63,4,5,4,6,459693,458524,918217,459693,458524,918217
64,6,6,9,5,840154,838262,1678416,840154,838262,1678416
65,8,10,5,6,1166448,1166473,2332921,1166448,1166473,2332921
66,6,7,5,4,937496,938538,1876034,937496,938538,1876034
67,5,5,3,5,582734,581837,1164571,582734,581837,1164571
68,4,7,4,5,446080,447108,893188,446080,447108,893188
69,5,6,9,8,1041169,1041221,2082390,1041169,1041221,2082390
70,8,6,6,5,1324741,1325343,2650084,1324741,1325343,2650084
71,5,4,5,3,656857,656992,1313849,656857,656992,1313849
72,6,4,6,5,591571,590801,1182372,591571,590801,1182372
73,8,6,5,9,989266,987146,1976412,989266,987146,1976412
74,5,7,6,4,1280264,1280296,2560560,1280264,1280296,2560560
75,6,5,8,5,1359065,1358678,2717743,1359065,1358678,2717743
76,6,9,7,9,1299644,1301834,2601478,1299644,1301834,2601478
77,7,5,4,8,366077,366487,732564,366077,366487,732564
78,1,7,8,4,708773,708217,1416990,708773,708217,1416990
79,3,7,8,8,1181523,1181714,2363237,1181523,1181714,2363237
80,7,2,8,8,604089,604782,1208871,604089,604782,1208871
81,9,7,7,6,1383181,1381658,2764839,1383181,1381658,2764839
82,7,6,7,6,1656708,1657864,3314572,1656708,1657864,3314572
83,5,6,7,3,1627394,1626909,3254303,1627394,1626909,3254303
84,5,6,8,5,981627,980946,1962573,981627,980946,1962573
85,5,5,5,9,724848,724411,1449259,724848,724411,1449259
86,4,7,8,8,1296016,1294842,2590858,1296016,1294842,2590858
87,7,7,4,2,744096,745036,1489132,744096,745036,1489132
88,5,6,6,8,839731,841028,1680759,839731,841028,1680759
89,8,8,7,4,530612,528645,1059257,530612,528645,1059257
90,4,7,7,4,1578638,1577476,3156114,1578638,1577476,3156114
91,4,7,4,8,759634,759446,1519080,759634,759446,1519080
92,8,6,4,4,695875,697336,1393211,695875,697336,1393211
93,7,6,5,7,1228457,1228262,2456719,1228457,1228262,2456719
94,5,6,6,6,1918219,1919427,3837646,1918219,1919427,3837646
95,6,6,4,7,783628,784108,1567736,783628,784108,1567736
96,7,12,5,9,983112,983253,1966365,983112,983253,1966365
97,6,7,6,8,1704704,1705750,3410454,1704704,1705750,3410454
98,5,7,8,7,1380470,1377909,2758379,1380470,1377909,2758379
99,6,9,9,6,906318,906630,1812948,906318,906630,1812948
