,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,3,3,2,3,14,15,29,14,15,29
1,3,4,3,2,13,10,23,13,10,23
2,4,3,4,3,34,26,60,34,26,60
3,3,2,4,2,12,13,25,12,13,25
4,6,3,5,4,19,23,42,19,23,42
5,5,2,2,3,11,10,21,11,10,21
6,3,3,1,4,13,7,20,13,7,20
7,4,2,2,2,3,2,5,3,2,5
8,1,2,3,2,8,11,19,8,11,19
9,1,3,4,2,15,14,29,15,14,29
10,4,4,4,4,9,9,18,9,9,18
11,3,2,2,3,5,2,7,5,2,7
12,3,2,4,2,10,9,19,10,9,19
13,2,2,5,3,11,5,16,11,5,16
14,4,3,3,3,6,6,12,6,6,12
15,2,2,3,2,5,9,14,5,9,14
16,5,3,3,2,6,5,11,6,5,11
17,1,2,3,3,5,0,5,5,0,5
18,1,2,5,4,4,2,6,4,2,6
19,1,3,1,2,1,0,1,1,0,1
20,3,4,2,4,21,21,42,21,21,42
21,2,4,4,2,5,11,16,5,11,16
22,1,3,3,4,13,12,25,13,12,25
23,1,3,4,4,39,40,79,39,40,79
24,4,3,3,2,10,12,22,10,12,22
25,4,2,3,2,6,5,11,6,5,11
26,3,2,2,2,38,34,72,38,34,72
27,1,4,3,3,9,5,14,9,5,14
28,2,4,3,3,14,15,29,14,15,29
29,2,4,2,2,16,2,18,16,2,18
30,4,5,2,2,8,8,16,8,8,16
31,4,2,4,4,9,8,17,9,8,17
32,2,2,2,3,7,4,11,7,4,11
33,3,2,4,2,20,13,33,20,13,33
34,3,3,2,4,20,22,42,20,22,42
35,2,2,5,2,6,5,11,6,5,11
36,3,3,3,2,2,3,5,2,3,5
37,5,3,2,3,16,7,23,16,7,23
38,2,2,2,2,5,5,10,5,5,10
39,2,3,4,3,6,6,12,6,6,12
40,3,2,3,2,2,0,2,2,0,2
41,1,3,1,3,1,0,1,1,0,1
42,2,2,2,3,8,6,14,8,6,14
43,1,4,4,3,1,2,3,1,2,3
44,2,2,4,3,4,2,6,4,2,6
45,4,4,3,3,11,7,18,11,7,18
46,2,3,4,2,8,9,17,8,9,17
47,2,3,2,4,18,17,35,18,17,35
48,2,3,3,2,26,19,45,26,19,45
49,3,3,2,3,18,19,37,18,19,37
50,2,4,2,4,8,15,23,8,15,23
51,5,2,2,4,4,2,6,4,2,6
52,4,3,3,3,24,20,44,24,20,44
53,2,2,2,3,1,1,2,1,1,2
54,5,2,4,5,15,17,32,15,17,32
55,3,3,2,2,4,5,9,4,5,9
56,4,2,4,3,38,39,77,38,39,77
57,3,3,2,2,28,33,61,28,33,61
58,2,3,4,4,6,9,15,6,9,15
59,2,3,6,4,5,6,11,5,6,11
60,2,3,2,2,7,3,10,7,3,10
61,3,3,2,2,4,4,8,4,4,8
62,3,2,3,3,20,23,43,20,23,43
63,2,5,3,3,35,23,58,35,23,58
64,4,2,2,2,3,3,6,3,3,6
65,1,6,2,4,5,4,9,5,4,9
66,1,5,2,2,54,45,99,54,45,99
67,4,2,3,2,1,1,2,1,1,2
68,3,3,3,3,57,35,92,57,35,92
69,4,3,1,3,3,2,5,3,2,5
70,3,3,2,2,17,14,31,17,14,31
71,5,2,2,2,4,0,4,4,0,4
72,2,4,3,5,13,10,23,13,10,23
73,2,3,4,4,12,0,12,12,0,12
74,2,3,2,4,2,3,5,2,3,5
75,1,3,4,2,13,8,21,13,8,21
76,2,3,2,2,6,6,12,6,6,12
77,2,5,3,3,10,9,19,10,9,19
78,3,3,6,4,7,5,12,7,5,12
79,2,3,1,2,14,6,20,14,6,20
80,3,3,3,3,11,12,23,11,12,23
81,1,2,4,2,3,5,8,3,5,8
82,3,3,1,2,1,0,1,1,0,1
83,2,4,1,2,3,3,6,3,3,6
84,1,3,4,3,2,3,5,2,3,5
85,4,3,3,3,9,11,20,9,11,20
86,1,3,2,2,21,21,42,21,21,42
87,5,2,3,2,9,10,19,9,10,19
88,1,3,2,3,1,0,1,1,0,1
89,2,4,3,4,21,21,42,21,21,42
90,2,2,3,2,3,4,7,3,4,7
91,3,4,3,2,2,8,10,2,8,10
92,3,2,1,3,8,7,15,8,7,15
93,2,2,2,3,16,16,32,16,16,32
94,4,3,3,4,32,32,64,32,32,64
95,2,3,4,2,9,15,24,9,15,24
96,3,2,2,2,40,41,81,40,41,81
97,2,2,4,2,13,10,23,13,10,23
98,2,3,2,3,6,7,13,6,7,13
99,1,3,2,3,7,2,9,7,2,9
